"NO","CODE","BRAND","COLOR","SIZE","PRICE","REMARK","CATEGORY","GRADE"
"1","SFB-0000","BEAUTY & YOUTH","CREAM","S","70000","FLANEL","SHIRT FEMALE","B"
"2","SFB-0001","LANIFICIO BANGIOLI","PURPLE","M","70000","FLANEL","SHIRT FEMALE","B"
"3","SFB-0002","OMONT","BLUE","S","70000","FLANEL","SHIRT FEMALE","B"
"4","SFB-0003","NO BRAND","CREAM","M","70000","FLANEL","SHIRT FEMALE","B"
"5","SFB-0004","ROMANTIC MOCHA","BLUE","M","70000","FLANEL","SHIRT FEMALE","B"
"6","SFB-0005","LUCKY STORE TAILOR","WHITE","M","70000","FLANEL","SHIRT FEMALE","B"
"7","SFB-0006","BROWNY","BLUE","M","70000","FLANEL","SHIRT FEMALE","B"
"8","SFB-0007","DAILY WEAR","RED, BLUE","M","70000","FLANEL","SHIRT FEMALE","B"
"9","SFB-0008","INGNI 1","PURPLE","M","70000","FLANEL","SHIRT FEMALE","B"
"10","SFB-0009","GU","RED","M","70000","FLANEL","SHIRT FEMALE","B"
"11","SFB-0010","CLEF DE SOL","NAVY","M","70000","FLANEL","SHIRT FEMALE","B"
"12","SFB-0011","GLOBAL WORK","WHITE, NAVY","L","70000","FLANEL","SHIRT FEMALE","B"
"13","SFB-0012","JEAN COX","GREEN","M","70000","FLANEL","SHIRT FEMALE","B"
"14","SFB-0013","FADED GLORY","BLUE","XL","70000","FLANEL","SHIRT FEMALE","B"
"15","SFB-0014","B-S","WHITE","M","70000","FLANEL","SHIRT FEMALE","B"
"16","SFB-0015","ME JANE","RED","M","70000","FLANEL","SHIRT FEMALE","B"
"17","SFB-0016","ELMOJADO","YELLOW","L","70000","FLANEL","SHIRT FEMALE","B"
"18","SFB-0017","DIXIE","BLUE","L","70000","FLANEL","SHIRT FEMALE","B"
"19","SFB-0018","VALMAN","BLUE","M","70000","FLANEL","SHIRT FEMALE","B"
"20","SFB-0019","PEDA MADA","GREEN NAVY","L","70000","FLANEL","SHIRT FEMALE","B"
"61","SFB-0060","CEDAR CREST","NAVY","M","70000","FLANEL","SHIRT FEMALE","B"
"62","SFB-0061","NO BRAND","GREY","L","70000","FLANEL","SHIRT FEMALE","B"
"63","SFB-0062","VIESTE","GREEN","L","70000","FLANEL","SHIRT FEMALE","B"
"64","SFB-0063","NO BRAND","BLACK, WHITE","L","70000","FLANEL","SHIRT FEMALE","B"
"65","SFB-0064","TORINO","CREAM","M","70000","FLANEL","SHIRT FEMALE","B"
"66","SFB-0065","FREUDE","GREEN","L","70000","FLANEL","SHIRT FEMALE","B"
"67","SFB-0066","IGNI 5","BLUE","L","70000","FLANEL","SHIRT FEMALE","B"
"68","SFB-0067","SORRIDERE","COLORFUL","L","70000","FLANEL","SHIRT FEMALE","B"
"69","SFB-0068","NIGHT RIDER","BLACK","M","70000","FLANEL","SHIRT FEMALE","B"
"70","SFB-0069","NO BRAND","PINK","M","70000","FLANEL","SHIRT FEMALE","B"
"101","SFB-0100","JUKE","RED","M","70000","FLANEL","SHIRT FEMALE","B"
